Frame_length_stored_into_the_capture_file_per_100msec,Length_per_100msec,L2CAP_count_per_100msec,HCI_ACL_count_per_100msec,HCI_CMD_count_per_100msec,HCI_EVT_count_per_100msec,Received_count_per_100msec,Sent_count_per_100msec,ACL_Data_count_per_100msec,HCI_Evnt_count_per_100msec,Unknown_count_per_100msec,Master_count_per_100msec,Slave_count_per_100msec,ubuntu_count_per_100msec,Destination_BDADDR_count_per_100msec,Source_BDADDR_count_per_100msec,ubuntu_count_per_100msec,Read_RSSI_count_per_100msec,Read_Tx_Power_Level_count_per_100msec,Read_Link_Quality_count_per_100msec,Command_Complete_count_per_100msec,Disconnect_complete_count_per_100msec,Label
136.33,116.3,1.18,0.01,0.07,0.75,1.35,0.66,1.19,0.75,0,0.6,0.59,0,24.98,32.74,0,0.01,0.01,0,1.95,0,0
184.67,163.8,1.56,0.02,0.03,0.81,1.61,0.81,1.58,0.81,0,0.8,0.78,0,33.16,43.48,0,0.01,0.01,0,4.9,0,0
162.11,143.85,1.37,0,0.03,0.71,1.4,0.71,1.37,0.71,0,0.69,0.68,0,28.76,37.69,0,0.01,0.01,0,7.89,0,0
178.68,158.55,1.51,0.01,0.03,0.78,1.54,0.79,1.52,0.78,0,0.76,0.76,0,31.92,41.8,0,0.01,0.01,0,10.9,0,0
530.27,471.45,4.49,0,0.03,2.27,4.52,2.27,4.49,2.27,0,2.25,2.24,0,94.28,123.49,0,0.01,0.01,0,13.88,0,0
512.53,455.7,4.34,0,0.03,2.19,4.36,2.2,4.34,2.19,0,2.17,2.17,0,91.14,119.35,0,0.01,0.01,0,16.88,0,0
594.07,528.15,5.03,0,0.03,2.55,5.06,2.55,5.03,2.55,0,2.51,2.52,0,105.64,138.31,0,0.01,0.01,0,19.88,0,0
575.11,511.35,4.87,0,0.03,2.46,4.9,2.46,4.87,2.46,0,2.44,2.43,0,102.26,133.94,0,0.01,0.01,0,22.88,0,0
609.37,541.8,5.16,0,0.03,2.61,5.19,2.61,5.16,2.61,0,2.58,2.58,0,108.36,141.9,0,0.01,0.01,0,25.88,0,0
599.93,533.4,5.08,0,0.03,2.57,5.11,2.57,5.08,2.57,0,2.54,2.54,0,106.68,139.7,0,0.01,0.01,0,28.88,0,0
595.21,529.2,5.04,0,0.03,2.55,5.07,2.55,5.04,2.55,0,2.52,2.52,0,105.84,138.6,0,0.01,0.01,0,31.88,0,0
590.49,525,5,0,0.03,2.53,5.03,2.53,5,2.53,0,2.5,2.5,0,105,137.5,0,0.01,0.01,0,34.88,0,0
609.29,541.8,5.16,0,0.03,2.6,5.18,2.61,5.16,2.6,0,2.58,2.58,0,108.36,141.9,0,0.01,0.01,0,37.87,0,0
598.95,532.35,5.07,0,0.03,2.59,5.12,2.57,5.07,2.59,0,2.53,2.54,0,106.48,139.41,0,0.01,0.01,0,40.87,0,0
594.01,528.15,5.03,0.02,0.03,2.53,5.07,2.54,5.05,2.53,0,2.54,2.51,0,106.02,138.92,0,0.01,0.01,0,43.86,0,0
592.85,527.1,5.02,0,0.03,2.54,5.05,2.54,5.02,2.54,0,2.51,2.51,0,105.42,138.05,0,0.01,0.01,0,46.86,0,0
604.75,537.6,5.12,0.02,0.03,2.59,5.17,2.59,5.14,2.59,0,2.58,2.56,0,107.92,141.38,0,0.01,0.01,0,49.85,0,0
