"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2","0.727228","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"3","0.728272","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"4","0.999860","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"5","1.729732","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"6","1.730918","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"7","1.874773","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"8","2.729764","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"9","2.736654","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"10","2.999832","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"11","3.730997","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"12","3.735499","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"13","3.999798","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"14","4.733514","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"15","4.737462","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"16","4.874780","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"17","5.734790","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"18","5.739777","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"19","5.999876","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"20","6.736038","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"21","6.740999","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"22","6.999796","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"23","7.737304","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"24","7.741125","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"25","7.999865","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"26","8.739808","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"27","8.739962","localhost ()","remote ()","L2CAP","14","Sent Connection oriented channel"
"28","8.746895","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"29","8.760880","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"30","8.764491","remote ()","localhost ()","L2CAP","14","Rcvd Connection oriented channel"
"31","9.741092","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"32","9.746809","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"33","9.999807","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"34","10.741089","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"35","10.751366","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"36","10.999807","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"37","11.742349","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"38","11.747842","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"39","11.999800","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"40","12.746125","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"41","12.750506","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"42","12.999828","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"43","13.746132","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"44","13.754324","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"45","13.999858","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"46","14.747377","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"47","14.755483","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"48","14.999840","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"49","15.748646","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"50","15.758282","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"51","15.999853","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"52","16.749899","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"53","16.756269","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"54","16.999865","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"55","17.761161","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"56","17.768760","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"57","17.999891","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"58","18.756191","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"59","18.760434","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"60","18.999910","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"61","19.754937","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"62","19.758162","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"63","19.999889","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"64","20.756209","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"65","20.763640","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"66","20.999931","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"67","21.758706","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"68","21.767439","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"69","21.999909","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"70","22.761216","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"71","22.766179","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"72","22.999928","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"73","23.762477","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"74","23.768921","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"75","23.999910","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"76","24.764995","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"77","24.766696","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"78","24.999910","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"79","25.765006","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"80","25.768754","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"81","25.999850","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"82","26.767521","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"83","26.769323","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"84","26.999866","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"85","27.768778","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"86","27.778154","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"87","27.999860","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"88","28.770054","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"89","28.771041","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"90","28.999868","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"91","29.772551","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"92","29.778003","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
"93","29.999841","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"94","30.772562","remote ()","localhost ()","L2CAP","44","Rcvd Connection oriented channel"
"95","30.776809","localhost ()","remote ()","L2CAP","44","Sent Connection oriented channel"
